world_rank,university_name,country,teaching,international,research,citations,income,total_score,international_students,year
152,Dartmouth College,United States of America,38.3,33.1,35.4,80.4,49.1,50.0,16.0,2015
153,Aarhus University,Denmark,30.9,66.3,47.5,66.5,59.8,49.9,14.0,2015
154,University of Exeter,United Kingdom,32.0,79.8,32.7,78.0,35.8,49.7,28.0,2015
155,National Taiwan University,Taiwan,48.8,27.5,57.3,47.7,43.8,49.3,7.0,2015
156,RWTH Aachen University,Germany,39.0,56.8,29.9,75.0,69.8,49.2,16.0,2015
157,Osaka University,Japan,51.3,29.1,48.0,51.1,73.6,49.1,9.0,2015
157,University of Liverpool,United Kingdom,31.3,79.5,33.2,76.2,40.0,49.1,30.0,2015
157,University of Western Australia,Australia,36.3,87.3,38.1,62.2,63.3,49.1,27.0,2015
160,University of Copenhagen,Denmark,34.0,71.8,34.4,73.5,44.4,49.0,19.0,2015
160,École Normale Supérieure de Lyon,France,38.1,64.4,33.8,73.0,29.3,49.0,14.0,2015
162,University of Utah,United States of America,38.8,27.5,36.5,75.0,58.1,48.6,9.0,2015
163,University of Freiburg,Germany,38.0,56.7,28.1,74.0,81.4,48.3,16.0,2015
164,University of Adelaide,Australia,33.8,79.3,40.4,61.1,65.3,48.2,26.0,2015
165,Istanbul Technical University,Turkey,30.2,37.3,36.9,79.7,51.1,48.1,5.0,2015
165,Karlsruhe Institute of Technology,Germany,40.5,60.1,34.9,62.9,82.7,48.1,16.0,2015
165,Pompeu Fabra University,Spain,25.1,63.2,28.3,88.3,35.9,48.1,13.0,2015
165,Tohoku University,Japan,49.7,29.7,47.3,49.6,76.8,48.1,7.0,2015
169,University of Miami,United States of America,42.7,56.7,27.2,73.1,,48.0,14.0,2015
170,University of Antwerp,Belgium,34.6,61.0,33.6,67.7,100.0,47.9,16.0,2015
171,University of Nottingham,United Kingdom,39.9,70.6,35.8,62.7,39.6,47.8,27.0,2015
171,Université Catholique de Louvain,Belgium,37.9,59.7,34.9,67.7,46.1,47.8,19.0,2015
173,Georgetown University,United States of America,51.1,43.3,28.2,62.2,80.0,47.7,14.0,2015
173,University of Victoria,Canada,21.6,70.1,30.6,86.7,31.6,47.7,11.0,2015
175,University of Auckland,New Zealand,28.6,87.3,33.4,68.4,74.2,47.5,28.0,2015
175,University of Iowa,United States of America,41.9,31.7,33.5,71.0,49.3,47.5,11.0,2015
177,Syracuse University,United States of America,32.4,41.2,24.4,87.1,40.6,47.3,15.0,2015
178,Joseph Fourier University,France,38.0,57.3,29.3,73.0,31.3,47.1,13.0,2015
178,University of Aberdeen,United Kingdom,28.0,84.1,30.2,74.3,42.1,47.1,33.0,2015
180,Paris Diderot University – Paris 7,France,25.6,67.4,19.7,92.2,29.1,47.0,17.0,2015
180,University of Delaware,United States of America,29.0,40.6,36.3,73.1,99.3,47.0,10.0,2015
182,Arizona State University,United States of America,35.7,29.5,37.5,73.1,32.6,46.9,9.0,2015
182,Sabancı University,Turkey,26.0,44.6,27.1,88.5,42.9,46.9,6.0,2015
182,University of Vienna,Austria,35.2,91.0,39.7,56.3,29.4,46.9,25.0,2015
185,Northeastern University,United States of America,36.4,54.7,21.9,81.3,34.0,46.8,26.0,2015
186,University of Oslo,Norway,36.1,60.3,35.2,66.3,36.6,46.7,18.0,2015
186,Yeshiva University,United States of America,45.2,27.6,23.9,77.8,,46.7,7.0,2015
188,Stony Brook University,United States of America,32.8,60.5,24.4,80.4,31.3,46.6,24.0,2015
188,Tel Aviv University,Israel,43.5,46.1,51.1,45.5,42.6,46.6,4.0,2015
188,University of Ottawa,Canada,37.9,63.2,34.7,62.9,45.9,46.6,15.0,2015
191,University at Buffalo,United States of America,40.1,57.0,39.8,57.5,39.6,46.5,19.0,2015
192,City University of Hong Kong,Hong Kong,31.0,71.3,32.9,68.6,49.8,46.3,28.0,2015
193,Fudan University,China,45.6,37.4,34.0,61.0,49.4,46.2,11.0,2015
193,Iowa State University,United States of America,36.4,40.6,30.9,72.0,54.4,46.2,11.0,2015
195,University of Bonn,Germany,32.2,54.8,22.2,83.8,,46.1,13.0,2015
196,Lomonosov Moscow State University,Russian Federation,55.9,60.4,42.1,33.8,78.5,46.0,20.0,2015
196,"St George’s, University of London",United Kingdom,23.1,55.8,27.3,86.4,32.4,46.0,17.0,2015
198,University of East Anglia,United Kingdom,25.2,76.5,22.6,83.7,29.2,45.9,28.0,2015
199,University of Leicester,United Kingdom,29.8,83.9,31.6,67.1,34.8,45.7,35.0,2015
200,Florida Institute of Technology,United States of America,19.7,63.0,13.1,99.2,53.7,45.6,26.0,2015
200,George Washington University,United States of America,44.6,39.9,25.1,70.0,29.3,45.6,16.0,2015
